name,country,state,city,logo,rulesets,website,wftdaWebsite,tags,isDeleted,lat,lng
Dark River Derby Coalition,us,,"Quincy, IL, us",/img/leagues/WFTDA/dark-river-derby-coalition.png,WFTDA,,https://wftda.com/wftda-leagues/dark-river-derby-coalition/,[],FALSE,39.9356016,-91.4098727
DC Rollergirls,us,,"Washington, DC, us",/img/leagues/WFTDA/dc-rollergirls.png,WFTDA,,https://wftda.com/wftda-leagues/dc-rollergirls/,[],FALSE,38.8950368,-77.0365427
Demolition City Roller Derby,us,,"Evansville, IN, us",/img/leagues/WFTDA/Demolition-City-Roller-Derby.png,WFTDA,,https://wftda.com/wftda-leagues/demolition-city-roller-derby/,[],FALSE,37.970495,-87.5715641
Denver Roller Derby,us,,"Denver, CO, us",/img/leagues/WFTDA/denver-roller-derby.png,WFTDA,,https://wftda.com/wftda-leagues/denver-roller-derby/,[],FALSE,39.7392364,-104.984862
Louisville Roller Derby,us,,"Louisville, KY, us",/img/leagues/WFTDA/Louisville-Roller-Derby.png,WFTDA,,https://wftda.com/wftda-leagues/louisville-roller-derby/,[],FALSE,38.2542376,-85.759407
Detroit Roller Derby,us,,"Detroit, MI, us",/img/leagues/WFTDA/detroit.png,WFTDA,,https://wftda.com/wftda-leagues/detroit-roller-derby/,[],FALSE,42.3315509,-83.0466403
Diamond State Roller Derby,us,,"Wilmington, DE, us",/img/leagues/WFTDA/diamond-state-roller-derby.png,WFTDA,,https://wftda.com/wftda-leagues/diamond-state-roller-derby/,[],FALSE,39.7459468,-75.546589
Dirty River Roller Derby,fi,,"Turku, fi",/img/leagues/WFTDA/dirty-river.png,WFTDA,,https://wftda.com/wftda-leagues/dirty-river-roller-derby/,[],FALSE,60.4517531,22.2670522
Rocket City Roller Derby,us,,"Huntsville, AL, us",/img/leagues/WFTDA/Rocket-City-Roller-Derby.png,WFTDA,,https://wftda.com/wftda-leagues/rocket-city-roller-derby/,[],FALSE,34.729847,-86.5859011
Dock City Rollers,se,,"Gothenburg, se",/img/leagues/WFTDA/dock-city-rollers.png,WFTDA,,https://wftda.com/wftda-leagues/dock-city-rollers/,[],FALSE,57.7072326,11.9670171
